epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6801.84,0.65156,0.38293,0.87278,0.92148,0.88963,0.93946,0.73453,0.67362,0.37256,0.8934,0.00643101,0.00643101,0.00643101
43,6961.48,0.64946,0.38237,0.87159,0.94283,0.88891,0.94495,0.74288,0.67168,0.36833,0.89685,0.00628101,0.00628101,0.00628101
44,7122.02,0.63455,0.37194,0.86971,0.93081,0.89484,0.94652,0.74292,0.66939,0.3661,0.89787,0.00612981,0.00612981,0.00612981
45,7281.56,0.63749,0.37342,0.86746,0.93446,0.90008,0.94729,0.74392,0.65776,0.35927,0.89223,0.00597754,0.00597754,0.00597754
46,7440.64,0.62919,0.36763,0.86324,0.9412,0.89303,0.94741,0.75053,0.65526,0.36051,0.88884,0.00582435,0.00582435,0.00582435
47,7599.52,0.62178,0.36489,0.86225,0.93416,0.90202,0.94919,0.75481,0.64797,0.35661,0.89024,0.0056704,0.0056704,0.0056704
48,7759.35,0.61667,0.3621,0.86167,0.93326,0.89218,0.9465,0.74701,0.6487,0.35745,0.88688,0.00551584,0.00551584,0.00551584
49,7918.06,0.60876,0.35654,0.85923,0.93772,0.89824,0.94915,0.75547,0.64503,0.35226,0.88959,0.00536081,0.00536081,0.00536081
50,8077.85,0.60612,0.35501,0.85679,0.94473,0.89845,0.95141,0.75341,0.65042,0.35483,0.89069,0.00520548,0.00520548,0.00520548
51,8237.06,0.60161,0.34999,0.85602,0.94588,0.89047,0.94756,0.75334,0.64524,0.35499,0.8881,0.00505,0.00505,0.00505
52,8396.67,0.59605,0.34799,0.85363,0.94041,0.89896,0.94964,0.75567,0.64588,0.34845,0.89336,0.00489452,0.00489452,0.00489452
53,8556.48,0.59029,0.34376,0.85369,0.94655,0.89987,0.95251,0.75693,0.6407,0.34901,0.88575,0.00473919,0.00473919,0.00473919
54,8716.8,0.58473,0.34151,0.85295,0.94001,0.90178,0.94949,0.7584,0.63229,0.34612,0.88414,0.00458416,0.00458416,0.00458416
55,8877.38,0.57784,0.33694,0.84987,0.94621,0.88968,0.9496,0.76179,0.63546,0.34672,0.88423,0.0044296,0.0044296,0.0044296
56,9038.5,0.5739,0.33482,0.8489,0.94613,0.89723,0.95429,0.76314,0.62986,0.34302,0.88478,0.00427565,0.00427565,0.00427565
57,9198.42,0.57502,0.33525,0.84998,0.95374,0.9014,0.95432,0.76531,0.6257,0.34078,0.88573,0.00412246,0.00412246,0.00412246
58,9357.82,0.56804,0.33006,0.84733,0.9262,0.92015,0.95657,0.76553,0.62696,0.33867,0.88324,0.00397019,0.00397019,0.00397019
59,9518.51,0.55967,0.32568,0.84485,0.95121,0.89846,0.95155,0.76477,0.62758,0.34109,0.88661,0.00381899,0.00381899,0.00381899
60,9678.8,0.55651,0.3237,0.84506,0.94866,0.90846,0.95452,0.76456,0.62258,0.33354,0.88226,0.00366899,0.00366899,0.00366899
61,9838.44,0.55084,0.32148,0.84232,0.94568,0.91088,0.95484,0.76479,0.62327,0.33532,0.88389,0.00352037,0.00352037,0.00352037
62,9997.11,0.54612,0.31814,0.84115,0.95802,0.89879,0.95458,0.77133,0.61659,0.33367,0.87986,0.00337325,0.00337325,0.00337325
63,10157.7,0.53985,0.31393,0.83977,0.95413,0.90869,0.95338,0.77035,0.60948,0.33239,0.8779,0.00322778,0.00322778,0.00322778
64,10316.9,0.53556,0.31095,0.83826,0.93877,0.91394,0.9575,0.7694,0.61922,0.33074,0.879,0.00308412,0.00308412,0.00308412
65,10477.4,0.53302,0.31164,0.83804,0.94586,0.91636,0.95653,0.77446,0.60623,0.32876,0.87598,0.00294239,0.00294239,0.00294239
66,10637,0.5279,0.30752,0.83702,0.93969,0.91614,0.95429,0.77502,0.60814,0.32501,0.87833,0.00280275,0.00280275,0.00280275
67,10797.7,0.52036,0.30316,0.8357,0.94986,0.90947,0.95546,0.77093,0.60768,0.32488,0.87801,0.00266532,0.00266532,0.00266532
68,10957.9,0.51937,0.30272,0.83376,0.93783,0.91536,0.95578,0.77762,0.60044,0.32223,0.87511,0.00253024,0.00253024,0.00253024
69,11117.6,0.51202,0.29765,0.83465,0.95062,0.90468,0.95612,0.77653,0.5971,0.32044,0.87548,0.00239766,0.00239766,0.00239766
70,11277.1,0.51452,0.29887,0.83422,0.94519,0.91784,0.95652,0.77472,0.59823,0.32209,0.87654,0.00226769,0.00226769,0.00226769
71,11436.9,0.50491,0.29535,0.83243,0.95385,0.9138,0.95844,0.7784,0.59791,0.31982,0.87607,0.00214046,0.00214046,0.00214046
72,11596.5,0.50067,0.29355,0.83057,0.95145,0.91592,0.95847,0.78087,0.59629,0.32013,0.87678,0.00201611,0.00201611,0.00201611
73,11755.8,0.49656,0.28941,0.82903,0.94991,0.91599,0.95822,0.78251,0.59556,0.31834,0.87739,0.00189475,0.00189475,0.00189475
74,11916.1,0.49412,0.28802,0.82707,0.94122,0.92336,0.95658,0.78205,0.59606,0.31831,0.87501,0.00177651,0.00177651,0.00177651
75,12075.6,0.48813,0.28455,0.82748,0.94559,0.91777,0.95985,0.78457,0.59164,0.31493,0.87586,0.00166149,0.00166149,0.00166149
76,12235.8,0.48562,0.28413,0.82724,0.95617,0.91237,0.95759,0.78337,0.59171,0.31431,0.87448,0.00154982,0.00154982,0.00154982
77,12395.1,0.48089,0.28006,0.82477,0.96023,0.91538,0.95891,0.78348,0.58881,0.31234,0.87471,0.00144161,0.00144161,0.00144161
78,12554.7,0.47998,0.2789,0.82682,0.94992,0.921,0.95927,0.78489,0.5908,0.31377,0.87401,0.00133695,0.00133695,0.00133695
79,12714.1,0.47036,0.27495,0.82238,0.95266,0.91462,0.95773,0.78435,0.58895,0.31398,0.87227,0.00123596,0.00123596,0.00123596
80,12874.9,0.46933,0.27381,0.82286,0.94233,0.92314,0.95805,0.78859,0.58679,0.31558,0.87086,0.00113873,0.00113873,0.00113873
81,13034.7,0.46941,0.27392,0.82292,0.94881,0.92072,0.95723,0.78525,0.58721,0.31398,0.87274,0.00104537,0.00104537,0.00104537
82,13193.9,0.46225,0.26987,0.82003,0.94734,0.91896,0.95827,0.78632,0.58453,0.31263,0.87221,0.000955951,0.000955951,0.000955951
83,13353.5,0.46222,0.27026,0.82159,0.94951,0.91716,0.95852,0.78533,0.58512,0.31199,0.87209,0.000870577,0.000870577,0.000870577
84,13513.5,0.45962,0.26754,0.82029,0.95039,0.91679,0.95898,0.78616,0.58416,0.31146,0.87182,0.000789327,0.000789327,0.000789327
85,13672.8,0.45266,0.26588,0.81909,0.93874,0.9244,0.95922,0.78575,0.58082,0.31178,0.87092,0.000712282,0.000712282,0.000712282
86,13833.1,0.45473,0.26532,0.82101,0.95157,0.91733,0.95985,0.7874,0.58042,0.30988,0.87224,0.000639518,0.000639518,0.000639518
87,13993.5,0.4481,0.26186,0.81809,0.95502,0.91615,0.95969,0.78786,0.57982,0.3095,0.87163,0.000571106,0.000571106,0.000571106
88,14153.7,0.44766,0.26182,0.81767,0.94629,0.92272,0.96043,0.78787,0.57791,0.30829,0.87026,0.000507115,0.000507115,0.000507115
89,14314.2,0.44562,0.26144,0.81802,0.94754,0.91973,0.95967,0.78891,0.57796,0.30826,0.87121,0.000447606,0.000447606,0.000447606
90,14474.2,0.44345,0.25941,0.81813,0.94694,0.92062,0.96039,0.79078,0.5788,0.30916,0.87251,0.00039264,0.00039264,0.00039264
91,14656.4,0.44431,0.25027,0.81229,0.95711,0.91001,0.95739,0.78615,0.58876,0.31496,0.87568,0.00034227,0.00034227,0.00034227
92,14815.2,0.42256,0.24178,0.8073,0.95672,0.91211,0.95884,0.7868,0.5878,0.31334,0.87554,0.000296546,0.000296546,0.000296546
93,14974.7,0.41839,0.2399,0.80581,0.95088,0.91354,0.95835,0.78547,0.58732,0.31344,0.87553,0.000255513,0.000255513,0.000255513
94,15134.3,0.41612,0.23881,0.80643,0.94984,0.91482,0.95795,0.78692,0.58643,0.31313,0.87513,0.000219212,0.000219212,0.000219212
95,15293.6,0.41573,0.23924,0.80626,0.9517,0.91427,0.95788,0.78727,0.58483,0.31212,0.87446,0.000187678,0.000187678,0.000187678
96,15453.1,0.41174,0.23639,0.80485,0.95765,0.9085,0.95785,0.78743,0.58333,0.31272,0.8743,0.000160943,0.000160943,0.000160943
97,15612.1,0.40991,0.23604,0.80453,0.95761,0.90747,0.95773,0.78731,0.58313,0.31291,0.87425,0.000139032,0.000139032,0.000139032
98,15772.1,0.40949,0.23594,0.80278,0.95272,0.91056,0.95857,0.78856,0.58274,0.31236,0.87417,0.000121968,0.000121968,0.000121968
99,15930.5,0.40606,0.23493,0.80464,0.95352,0.91103,0.95815,0.78873,0.58202,0.31278,0.87395,0.000109768,0.000109768,0.000109768
100,16089,0.40792,0.2348,0.80293,0.95524,0.90849,0.95826,0.78935,0.58206,0.31256,0.87396,0.000102443,0.000102443,0.000102443
