epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.259,1.12918,1.04742,1.06377,0.76475,0.65255,0.73961,0.48623,1.02125,0.64503,1.01793,0.0700802,0.00332442,0.00332442
2,368.292,1.07561,0.73277,1.02232,0.78889,0.6703,0.75915,0.48962,1.02737,0.64993,1.02568,0.0400786,0.00665613,0.00665613
3,545.504,1.11732,0.76264,1.0438,0.74288,0.61491,0.69339,0.43857,1.10524,0.74702,1.07343,0.0100705,0.00998133,0.00998133
4,721.881,1.14111,0.77605,1.05878,0.78877,0.63465,0.71304,0.45673,1.07439,0.69686,1.06851,0.00997803,0.00997803,0.00997803
5,898.295,1.10141,0.72923,1.04539,0.78551,0.66219,0.7466,0.48005,1.0514,0.66548,1.05946,0.00996097,0.00996097,0.00996097
6,1074.39,1.06811,0.70182,1.03551,0.80718,0.68592,0.76315,0.50425,1.00238,0.6333,1.04704,0.00993906,0.00993906,0.00993906
7,1250.79,1.03187,0.67556,1.02148,0.82635,0.70421,0.78408,0.52039,0.98041,0.60404,1.03315,0.00991232,0.00991232,0.00991232
8,1427.14,1.01147,0.64652,1.01031,0.85755,0.69795,0.80247,0.53853,0.95216,0.61202,1.02728,0.00988079,0.00988079,0.00988079
9,1603.43,0.98904,0.63,1.00267,0.84827,0.74954,0.82426,0.55809,0.93294,0.57623,1.00737,0.00984449,0.00984449,0.00984449
10,1779.78,0.9682,0.61233,0.99786,0.87639,0.7266,0.84152,0.5764,0.91127,0.55461,0.9977,0.00980345,0.00980345,0.00980345
11,1956.2,0.9574,0.59866,0.9912,0.86378,0.717,0.82185,0.56827,0.9127,0.55638,1.00107,0.00975773,0.00975773,0.00975773
12,2132.32,0.93159,0.57977,0.98089,0.85329,0.7806,0.85227,0.59428,0.89147,0.52793,0.99561,0.00970736,0.00970736,0.00970736
13,2308.69,0.91514,0.56369,0.9759,0.86231,0.78195,0.85701,0.59645,0.88827,0.5279,0.99238,0.00965239,0.00965239,0.00965239
14,2485.02,0.90238,0.55392,0.97178,0.87955,0.78872,0.86508,0.61191,0.85828,0.52373,0.97998,0.00959289,0.00959289,0.00959289
15,2661.47,0.88918,0.54357,0.96847,0.87268,0.77856,0.87023,0.61264,0.85255,0.50442,0.97919,0.00952889,0.00952889,0.00952889
16,2837.94,0.87713,0.53515,0.96567,0.86693,0.80142,0.87712,0.62747,0.83773,0.49275,0.97825,0.00946048,0.00946048,0.00946048
17,3016.47,0.86476,0.52172,0.95756,0.88403,0.80892,0.88236,0.63701,0.82531,0.47707,0.96607,0.00938772,0.00938772,0.00938772
18,3198.13,0.84951,0.51229,0.95187,0.90328,0.82317,0.89315,0.64248,0.82174,0.4749,0.96287,0.00931067,0.00931067,0.00931067
19,3374.99,0.84151,0.50663,0.94875,0.91961,0.8083,0.8915,0.64271,0.81618,0.47455,0.96261,0.00922942,0.00922942,0.00922942
20,3551.22,0.83563,0.50445,0.94922,0.88573,0.83079,0.89294,0.64242,0.81051,0.46977,0.96366,0.00914405,0.00914405,0.00914405
21,3727.66,0.8218,0.49357,0.93927,0.89237,0.84318,0.90021,0.65594,0.79216,0.4607,0.95215,0.00905463,0.00905463,0.00905463
22,3904.04,0.81604,0.48972,0.9389,0.89308,0.84173,0.9034,0.66559,0.79602,0.46005,0.95219,0.00896127,0.00896127,0.00896127
23,4080.38,0.80457,0.48009,0.93244,0.89031,0.84682,0.90555,0.66828,0.78546,0.44514,0.9518,0.00886404,0.00886404,0.00886404
24,4256.5,0.79837,0.47676,0.93252,0.914,0.84742,0.90957,0.67896,0.77625,0.43889,0.9484,0.00876305,0.00876305,0.00876305
25,4432.74,0.78617,0.468,0.93198,0.90295,0.83412,0.90471,0.66448,0.77404,0.43623,0.94762,0.00865839,0.00865839,0.00865839
26,4608.88,0.77859,0.46498,0.92658,0.90998,0.8505,0.91743,0.67704,0.76006,0.4289,0.9377,0.00855018,0.00855018,0.00855018
27,4785.35,0.76698,0.45678,0.92145,0.91473,0.85333,0.91694,0.68312,0.75205,0.42515,0.93997,0.00843851,0.00843851,0.00843851
28,4961.61,0.76537,0.45385,0.91989,0.90955,0.86469,0.92064,0.69519,0.74005,0.41861,0.93515,0.00832349,0.00832349,0.00832349
29,5138,0.75439,0.44539,0.92093,0.9133,0.86274,0.92216,0.6921,0.74298,0.41449,0.93465,0.00820525,0.00820525,0.00820525
30,5314.2,0.74398,0.44068,0.9126,0.92903,0.83805,0.91974,0.69339,0.74073,0.41627,0.93248,0.00808389,0.00808389,0.00808389
31,5490.36,0.74154,0.43641,0.90884,0.91093,0.86539,0.91744,0.69353,0.734,0.40343,0.93369,0.00795954,0.00795954,0.00795954
32,5666.46,0.73375,0.43003,0.90818,0.91523,0.86959,0.92595,0.70718,0.72117,0.40615,0.92935,0.00783231,0.00783231,0.00783231
33,5842.85,0.73111,0.42929,0.90563,0.93377,0.86493,0.92343,0.70155,0.71903,0.40051,0.92868,0.00770234,0.00770234,0.00770234
34,6018.83,0.71962,0.42389,0.89922,0.91797,0.86473,0.92323,0.70385,0.71312,0.39633,0.9239,0.00756976,0.00756976,0.00756976
35,6195.19,0.71634,0.41623,0.90044,0.91133,0.88045,0.93673,0.71754,0.70569,0.39117,0.9219,0.00743468,0.00743468,0.00743468
36,6371.21,0.70986,0.41693,0.89869,0.9206,0.86748,0.92956,0.70709,0.70951,0.39241,0.92432,0.00729725,0.00729725,0.00729725
37,6547.26,0.71015,0.41427,0.89808,0.90896,0.88436,0.92935,0.71283,0.70284,0.38771,0.92114,0.00715761,0.00715761,0.00715761
38,6723.28,0.69178,0.40236,0.89596,0.93971,0.87227,0.93734,0.71804,0.69355,0.37543,0.92222,0.00701588,0.00701588,0.00701588
39,6899.55,0.6902,0.40384,0.89282,0.92313,0.87619,0.93038,0.71161,0.69363,0.38235,0.9181,0.00687222,0.00687222,0.00687222
40,7075.63,0.68535,0.39805,0.8922,0.93548,0.87546,0.93693,0.72427,0.69032,0.37635,0.91842,0.00672675,0.00672675,0.00672675
41,7251.93,0.67784,0.39467,0.89049,0.91738,0.89006,0.93767,0.72325,0.68642,0.37415,0.91474,0.00657963,0.00657963,0.00657963
42,7428.05,0.67237,0.39086,0.88772,0.93229,0.88993,0.94162,0.72611,0.6743,0.37054,0.91332,0.00643101,0.00643101,0.00643101
43,7604.07,0.66405,0.38662,0.88391,0.9372,0.88704,0.94184,0.72952,0.673,0.36582,0.90784,0.00628101,0.00628101,0.00628101
