epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.209,1.11795,1.02803,1.02282,0.75445,0.65371,0.72056,0.46342,1.05266,0.71597,0.99547,0.0700802,0.00332442,0.00332442
2,700.922,1.07937,0.7758,0.99512,0.732,0.67413,0.73145,0.47062,1.06529,0.74543,1.0162,0.0400786,0.00665613,0.00665613
3,917.656,1.14246,0.83112,1.02425,0.72889,0.59749,0.66068,0.4106,1.12858,0.8103,1.05094,0.0100705,0.00998133,0.00998133
4,1372.84,1.16326,0.84113,1.04415,0.72455,0.61583,0.69462,0.4441,1.10171,0.77772,1.04239,0.00997803,0.00997803,0.00997803
5,1808.42,1.12628,0.79251,1.03395,0.73142,0.63083,0.69198,0.43906,1.08616,0.74702,1.0512,0.00996097,0.00996097,0.00996097
6,2031.29,1.0867,0.75191,1.0213,0.76295,0.66897,0.74016,0.48208,1.04129,0.68329,1.02271,0.00993906,0.00993906,0.00993906
7,2255.45,1.05357,0.71894,1.00626,0.79316,0.67964,0.762,0.50524,0.99935,0.66138,1.00788,0.00991232,0.00991232,0.00991232
8,2671.35,1.03163,0.70219,0.99933,0.80833,0.71258,0.77902,0.52702,0.97585,0.64548,0.99625,0.00988079,0.00988079,0.00988079
9,2904.94,1.00645,0.66991,0.98877,0.84834,0.6992,0.80147,0.54868,0.94376,0.60844,0.98873,0.00984449,0.00984449,0.00984449
10,3321.81,0.98157,0.64965,0.97819,0.8599,0.70674,0.81488,0.55743,0.92439,0.60193,0.97448,0.00980345,0.00980345,0.00980345
11,3542.77,0.96673,0.63425,0.97433,0.8425,0.75812,0.83593,0.57396,0.90224,0.58268,0.96741,0.00975773,0.00975773,0.00975773
12,3771.85,0.94499,0.61524,0.96535,0.8391,0.73563,0.81898,0.55795,0.91484,0.57634,0.97434,0.00970736,0.00970736,0.00970736
13,4007.56,0.93304,0.60787,0.9589,0.85507,0.76164,0.85157,0.58917,0.88448,0.55362,0.96719,0.00965239,0.00965239,0.00965239
14,4463.48,0.91078,0.58535,0.95339,0.8595,0.7768,0.85282,0.59553,0.88494,0.5579,0.96541,0.00959289,0.00959289,0.00959289
15,4879.5,0.90114,0.57763,0.9492,0.83491,0.78099,0.854,0.59284,0.86954,0.55215,0.95855,0.00952889,0.00952889,0.00952889
16,5120.89,0.89266,0.56887,0.94856,0.86907,0.79112,0.87589,0.62046,0.84859,0.5182,0.95421,0.00946048,0.00946048,0.00946048
17,5327.5,0.87851,0.5565,0.94187,0.89236,0.80349,0.8816,0.63225,0.85019,0.5141,0.94775,0.00938772,0.00938772,0.00938772
18,5533.59,0.87304,0.55165,0.94362,0.87665,0.79386,0.87284,0.63248,0.82491,0.50654,0.94418,0.00931067,0.00931067,0.00931067
19,5966.59,0.85463,0.54213,0.93407,0.87422,0.8379,0.8871,0.63874,0.82275,0.49317,0.9423,0.00922942,0.00922942,0.00922942
20,6420.06,0.8468,0.52868,0.92891,0.90607,0.83204,0.89848,0.64719,0.8087,0.49167,0.93717,0.00914405,0.00914405,0.00914405
21,6637.78,0.83415,0.52159,0.92866,0.89096,0.82964,0.902,0.65305,0.79496,0.47975,0.93577,0.00905463,0.00905463,0.00905463
22,6871.52,0.83072,0.51346,0.92611,0.90757,0.83509,0.89842,0.65742,0.79435,0.47354,0.93056,0.00896127,0.00896127,0.00896127
23,7086.3,0.81901,0.51072,0.92152,0.89768,0.84343,0.91047,0.66388,0.79159,0.46361,0.9312,0.00886404,0.00886404,0.00886404
24,7313.45,0.80482,0.49629,0.91795,0.90005,0.8287,0.90137,0.66956,0.76767,0.45849,0.92455,0.00876305,0.00876305,0.00876305
25,7749.76,0.80092,0.49291,0.91558,0.90994,0.85926,0.91661,0.67685,0.76694,0.44592,0.92344,0.00865839,0.00865839,0.00865839
26,8209.79,0.79101,0.48616,0.91032,0.91674,0.83505,0.91002,0.67714,0.77503,0.43986,0.92865,0.00855018,0.00855018,0.00855018
27,8697.53,0.78554,0.48319,0.91205,0.89368,0.84862,0.9104,0.67907,0.75915,0.44489,0.92094,0.00843851,0.00843851,0.00843851
28,8920.3,0.77699,0.47566,0.90816,0.91261,0.84956,0.91813,0.68376,0.75644,0.43816,0.91912,0.00832349,0.00832349,0.00832349
29,9124.74,0.76562,0.46794,0.90484,0.91255,0.85901,0.92008,0.68909,0.75206,0.43563,0.91501,0.00820525,0.00820525,0.00820525
30,9349.79,0.76456,0.46647,0.90289,0.92398,0.84874,0.92461,0.6969,0.73674,0.42828,0.91462,0.00808389,0.00808389,0.00808389
31,9762.63,0.74809,0.45618,0.89759,0.89933,0.86537,0.91726,0.6925,0.73813,0.42392,0.91183,0.00795954,0.00795954,0.00795954
32,9968.85,0.74606,0.45457,0.89738,0.90726,0.8648,0.92564,0.6972,0.73366,0.42456,0.91328,0.00783231,0.00783231,0.00783231
33,10180.4,0.73576,0.44953,0.89433,0.90974,0.87315,0.92926,0.70729,0.72156,0.41114,0.90814,0.00770234,0.00770234,0.00770234
34,10389.8,0.73108,0.44539,0.89365,0.90714,0.88075,0.92763,0.70493,0.72168,0.41204,0.9072,0.00756976,0.00756976,0.00756976
35,10598,0.72336,0.44036,0.88993,0.91014,0.88623,0.93155,0.71238,0.70988,0.40686,0.90529,0.00743468,0.00743468,0.00743468
36,10969.7,0.71798,0.43422,0.8896,0.91554,0.88918,0.93302,0.71664,0.70705,0.40265,0.90306,0.00729725,0.00729725,0.00729725
37,11389.6,0.71113,0.42894,0.88845,0.9225,0.87617,0.93807,0.72099,0.69983,0.40086,0.90256,0.00715761,0.00715761,0.00715761
38,11621.6,0.70399,0.42316,0.88299,0.93614,0.87329,0.93621,0.72684,0.69463,0.39767,0.89867,0.00701588,0.00701588,0.00701588
39,11835.3,0.69896,0.42279,0.88251,0.92902,0.87593,0.93498,0.72628,0.69117,0.39327,0.8987,0.00687222,0.00687222,0.00687222
40,12273.2,0.69036,0.41701,0.88073,0.93379,0.88388,0.94239,0.73016,0.69342,0.3913,0.89961,0.00672675,0.00672675,0.00672675
41,12486.6,0.68961,0.41696,0.8798,0.91598,0.88799,0.93766,0.73319,0.68698,0.39157,0.89812,0.00657963,0.00657963,0.00657963
42,12680,0.67833,0.40755,0.87461,0.92774,0.88836,0.9416,0.73647,0.68,0.39047,0.89419,0.00643101,0.00643101,0.00643101
43,12887,0.67553,0.40507,0.87572,0.91512,0.89809,0.94436,0.74025,0.67469,0.38347,0.8931,0.00628101,0.00628101,0.00628101
44,13105.4,0.66673,0.39887,0.87136,0.93951,0.88231,0.94532,0.73983,0.67045,0.37691,0.89124,0.00612981,0.00612981,0.00612981
45,13490.5,0.6632,0.3986,0.86939,0.92322,0.8995,0.94337,0.74177,0.67168,0.38205,0.89235,0.00597754,0.00597754,0.00597754
46,13722.8,0.65705,0.39268,0.87017,0.93939,0.89082,0.94775,0.75325,0.6551,0.37122,0.88667,0.00582435,0.00582435,0.00582435
47,13921,0.65224,0.38833,0.86688,0.93313,0.8873,0.94675,0.74696,0.66036,0.3712,0.88799,0.0056704,0.0056704,0.0056704
48,14116.7,0.64642,0.38606,0.86694,0.93222,0.89088,0.94622,0.7506,0.65685,0.37247,0.88689,0.00551584,0.00551584,0.00551584
49,14320.5,0.63662,0.38072,0.86344,0.93415,0.89431,0.9442,0.74726,0.65296,0.36731,0.88675,0.00536081,0.00536081,0.00536081
50,14535.7,0.63744,0.38132,0.86274,0.94761,0.8855,0.94793,0.75247,0.64439,0.36828,0.88223,0.00520548,0.00520548,0.00520548
51,14746.1,0.62727,0.37447,0.86108,0.93309,0.89967,0.94686,0.75121,0.64943,0.36524,0.88533,0.00505,0.00505,0.00505
52,15187.8,0.62531,0.37648,0.8598,0.93176,0.89818,0.94599,0.75748,0.63805,0.36204,0.88147,0.00489452,0.00489452,0.00489452
53,15391.3,0.61855,0.36936,0.85811,0.93541,0.90265,0.94995,0.75916,0.63422,0.35912,0.88166,0.00473919,0.00473919,0.00473919
54,15845.2,0.60884,0.36335,0.85486,0.95093,0.8898,0.94887,0.75947,0.6264,0.35221,0.87801,0.00458416,0.00458416,0.00458416
55,16048.2,0.60596,0.3637,0.85294,0.9499,0.88275,0.94914,0.76349,0.62408,0.35401,0.87766,0.0044296,0.0044296,0.0044296
56,16252.5,0.59519,0.35484,0.85198,0.93782,0.89984,0.94968,0.76714,0.62426,0.35277,0.87666,0.00427565,0.00427565,0.00427565
57,16673.9,0.59559,0.35382,0.85114,0.94216,0.89277,0.94735,0.76627,0.62268,0.35326,0.87719,0.00412246,0.00412246,0.00412246
58,17093.8,0.58805,0.34978,0.84961,0.93864,0.90083,0.94747,0.76692,0.61768,0.35201,0.87482,0.00397019,0.00397019,0.00397019
59,17513.5,0.58618,0.3487,0.84972,0.94,0.90805,0.95121,0.7687,0.61478,0.34747,0.87397,0.00381899,0.00381899,0.00381899
60,17715.8,0.58238,0.34479,0.84737,0.94277,0.89933,0.95269,0.76668,0.61561,0.34693,0.8754,0.00366899,0.00366899,0.00366899
61,17940.5,0.57563,0.34351,0.84517,0.93293,0.9036,0.95164,0.76973,0.61323,0.34629,0.87331,0.00352037,0.00352037,0.00352037
