epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.536,1.15441,0.9825,1.04894,0.69825,0.60794,0.66449,0.4281,1.05159,0.71627,0.99869,0.0700401,0.00332888,0.00332888
2,466.981,1.08915,0.78737,1.00476,0.75577,0.621,0.69722,0.45924,1.04039,0.72243,1.00138,0.0400385,0.00666058,0.00666058
3,664.027,1.13068,0.81734,1.02028,0.73029,0.61965,0.69438,0.42879,1.12241,0.75647,1.04188,0.0100303,0.00998578,0.00998578
4,860.208,1.15193,0.83752,1.03593,0.74563,0.62618,0.69174,0.43602,1.07542,0.73039,1.02342,0.00997803,0.00997803,0.00997803
5,1054.29,1.12564,0.79388,1.02751,0.78719,0.61907,0.7239,0.47077,1.05002,0.71709,1.02239,0.00996097,0.00996097,0.00996097
6,1249.51,1.09643,0.75351,1.01554,0.75213,0.65665,0.74148,0.48526,1.02844,0.69848,1.00643,0.00993906,0.00993906,0.00993906
7,1446.4,1.06041,0.72307,1.00502,0.79523,0.67887,0.75985,0.49424,1.01218,0.65464,0.99866,0.00991232,0.00991232,0.00991232
8,1643.16,1.04481,0.70968,0.99929,0.77475,0.71887,0.78527,0.52238,0.97745,0.64424,0.98875,0.00988079,0.00988079,0.00988079
9,1839.5,1.02393,0.68582,0.98749,0.83223,0.69272,0.78889,0.52263,0.96561,0.62943,0.98302,0.00984449,0.00984449,0.00984449
10,2035.37,1.00393,0.6685,0.98037,0.85374,0.72597,0.81859,0.54643,0.94298,0.6002,0.97431,0.00980345,0.00980345,0.00980345
11,2231.48,0.99214,0.65776,0.98029,0.80899,0.74429,0.81646,0.55124,0.94191,0.59317,0.97546,0.00975773,0.00975773,0.00975773
12,2428.03,0.9727,0.63951,0.97247,0.83555,0.75935,0.82811,0.55491,0.92109,0.57866,0.96676,0.00970736,0.00970736,0.00970736
13,2624.71,0.95794,0.62098,0.96762,0.84693,0.76419,0.83894,0.57418,0.90976,0.55927,0.96294,0.00965239,0.00965239,0.00965239
