epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7122.32,1.61201,0.87713,1.79603,0.92088,0.86816,0.93189,0.71935,1.51362,0.78452,1.82719,0.00643101,0.00643101,0.00643101
43,7291.94,1.59228,0.86526,1.79195,0.90679,0.88005,0.93541,0.71881,1.52543,0.79008,1.83628,0.00628101,0.00628101,0.00628101
44,7460.52,1.57864,0.8558,1.79462,0.90924,0.88614,0.93771,0.72311,1.51173,0.76983,1.82594,0.00612981,0.00612981,0.00612981
45,7629.53,1.55746,0.83944,1.77783,0.91686,0.87557,0.93843,0.7275,1.48356,0.7574,1.81908,0.00597754,0.00597754,0.00597754
46,7798.09,1.54745,0.83045,1.77931,0.90244,0.88412,0.93957,0.72893,1.48205,0.75801,1.81761,0.00582435,0.00582435,0.00582435
47,7967.11,1.52247,0.81672,1.77509,0.90952,0.88622,0.93869,0.73312,1.47254,0.74782,1.81528,0.0056704,0.0056704,0.0056704
48,8135.6,1.51658,0.81501,1.76946,0.93317,0.87209,0.9388,0.73267,1.46237,0.75832,1.81068,0.00551584,0.00551584,0.00551584
49,8304.05,1.50763,0.80594,1.76785,0.92802,0.87836,0.94264,0.74297,1.45389,0.73428,1.8078,0.00536081,0.00536081,0.00536081
50,8473.01,1.48919,0.80467,1.765,0.92615,0.87706,0.9363,0.73888,1.44892,0.75177,1.80535,0.00520548,0.00520548,0.00520548
51,8641.85,1.48259,0.7939,1.76114,0.92739,0.87656,0.94101,0.74278,1.43575,0.7375,1.80175,0.00505,0.00505,0.00505
52,8810.76,1.47752,0.79335,1.75808,0.93018,0.87598,0.93944,0.74319,1.42172,0.73036,1.79938,0.00489452,0.00489452,0.00489452
53,8979.55,1.46256,0.77696,1.75811,0.93625,0.87632,0.94204,0.74857,1.4153,0.72988,1.79666,0.00473919,0.00473919,0.00473919
54,9148.59,1.44891,0.76868,1.74928,0.92847,0.8842,0.94307,0.74699,1.41751,0.7302,1.80148,0.00458416,0.00458416,0.00458416
55,9317.33,1.44333,0.76775,1.74901,0.92418,0.88573,0.94452,0.75155,1.39555,0.72328,1.79707,0.0044296,0.0044296,0.0044296
56,9486.05,1.42488,0.75102,1.74694,0.91873,0.89653,0.94375,0.74605,1.40219,0.71835,1.79591,0.00427565,0.00427565,0.00427565
57,9654.82,1.42056,0.75235,1.74631,0.92166,0.88003,0.9412,0.75115,1.38466,0.71516,1.78911,0.00412246,0.00412246,0.00412246
58,9823.37,1.40301,0.73517,1.73717,0.93199,0.88368,0.93984,0.75058,1.37766,0.71079,1.78796,0.00397019,0.00397019,0.00397019
59,9991.49,1.3813,0.72927,1.73122,0.93674,0.88814,0.94393,0.75626,1.3755,0.69813,1.7861,0.00381899,0.00381899,0.00381899
60,10160.1,1.37534,0.72428,1.72848,0.94924,0.88244,0.94653,0.75442,1.3711,0.6976,1.78906,0.00366899,0.00366899,0.00366899
61,10328.7,1.36925,0.71968,1.73304,0.95005,0.88508,0.94739,0.76012,1.36507,0.69165,1.78131,0.00352037,0.00352037,0.00352037
62,10497.4,1.35304,0.70714,1.72051,0.93909,0.89796,0.95005,0.76283,1.35739,0.68143,1.77968,0.00337325,0.00337325,0.00337325
63,10666.5,1.34385,0.69941,1.72089,0.94379,0.89028,0.94829,0.76622,1.35272,0.68775,1.7778,0.00322778,0.00322778,0.00322778
64,10835.3,1.33118,0.69237,1.71408,0.94952,0.88838,0.94991,0.76892,1.34288,0.67755,1.76995,0.00308412,0.00308412,0.00308412
65,11004.3,1.32349,0.69056,1.71486,0.93183,0.90605,0.94985,0.76472,1.34858,0.6823,1.77766,0.00294239,0.00294239,0.00294239
66,11172.9,1.31561,0.6855,1.71873,0.92516,0.90089,0.94734,0.7674,1.33423,0.67906,1.77271,0.00280275,0.00280275,0.00280275
67,11341.7,1.30221,0.67232,1.7096,0.93441,0.89743,0.94937,0.7681,1.32428,0.66661,1.77189,0.00266532,0.00266532,0.00266532
68,11510.3,1.28812,0.67149,1.70537,0.95197,0.88459,0.95006,0.77007,1.32001,0.66659,1.77635,0.00253024,0.00253024,0.00253024
69,11679.1,1.28088,0.66314,1.70521,0.94109,0.89868,0.95,0.7714,1.31528,0.66813,1.76944,0.00239766,0.00239766,0.00239766
70,11847.9,1.26643,0.65434,1.69987,0.94306,0.89782,0.95058,0.77299,1.32071,0.67082,1.77192,0.00226769,0.00226769,0.00226769
71,12017.1,1.26546,0.65589,1.70003,0.94282,0.90396,0.94971,0.77323,1.30813,0.65769,1.76653,0.00214046,0.00214046,0.00214046
72,12186.3,1.25295,0.64401,1.69214,0.93805,0.90042,0.94864,0.77079,1.30495,0.65961,1.76201,0.00201611,0.00201611,0.00201611
73,12354.8,1.24261,0.63845,1.69489,0.94141,0.89559,0.95112,0.77371,1.30319,0.65845,1.76577,0.00189475,0.00189475,0.00189475
74,12523.3,1.23049,0.63597,1.69257,0.95355,0.8965,0.951,0.77652,1.29723,0.65824,1.76333,0.00177651,0.00177651,0.00177651
75,12692,1.22814,0.62477,1.68994,0.95229,0.8959,0.95219,0.77718,1.30067,0.656,1.76408,0.00166149,0.00166149,0.00166149
76,12860.8,1.20999,0.62393,1.68438,0.95064,0.90071,0.95316,0.77713,1.29668,0.65342,1.76333,0.00154982,0.00154982,0.00154982
77,13030,1.20221,0.62113,1.68071,0.95954,0.89749,0.95181,0.77805,1.29357,0.64788,1.7587,0.00144161,0.00144161,0.00144161
78,13198.8,1.19909,0.61665,1.68085,0.95009,0.89978,0.95188,0.7797,1.29044,0.64362,1.75975,0.00133695,0.00133695,0.00133695
79,13367.2,1.18331,0.60943,1.68075,0.94639,0.90801,0.95257,0.77982,1.28559,0.64404,1.75732,0.00123596,0.00123596,0.00123596
80,13536,1.18415,0.6037,1.6773,0.9439,0.9048,0.95273,0.7794,1.28418,0.64187,1.75668,0.00113873,0.00113873,0.00113873
81,13706.8,1.17979,0.60896,1.67486,0.93928,0.91082,0.9541,0.77781,1.28351,0.64242,1.75637,0.00104537,0.00104537,0.00104537
82,13883.8,1.16823,0.59654,1.67322,0.94123,0.90986,0.95253,0.78043,1.28087,0.6433,1.75918,0.000955951,0.000955951,0.000955951
83,14059.1,1.15905,0.59172,1.67398,0.95344,0.90274,0.95398,0.78001,1.27455,0.64571,1.7563,0.000870577,0.000870577,0.000870577
84,14234.8,1.14738,0.58919,1.66851,0.94842,0.90454,0.9535,0.78179,1.27075,0.64315,1.75899,0.000789327,0.000789327,0.000789327
85,14410.7,1.14252,0.58697,1.67225,0.95161,0.90716,0.95349,0.78192,1.27206,0.64424,1.75879,0.000712282,0.000712282,0.000712282
86,14585.6,1.1373,0.58462,1.67083,0.95031,0.91127,0.95445,0.78323,1.26969,0.6381,1.75873,0.000639518,0.000639518,0.000639518
87,14765.1,1.13896,0.58189,1.67069,0.94744,0.90671,0.95432,0.78418,1.26578,0.63584,1.7585,0.000571106,0.000571106,0.000571106
88,14939.5,1.13617,0.58357,1.66666,0.9434,0.91032,0.9543,0.78278,1.26664,0.63556,1.75801,0.000507115,0.000507115,0.000507115
89,15110.3,1.1254,0.57766,1.66178,0.94526,0.908,0.95452,0.78528,1.26605,0.63704,1.75679,0.000447606,0.000447606,0.000447606
90,15281.3,1.12012,0.5709,1.66535,0.95419,0.90111,0.95448,0.78655,1.26299,0.63509,1.75586,0.00039264,0.00039264,0.00039264
91,15458.8,1.06565,0.51825,1.64453,0.93933,0.90561,0.95399,0.77831,1.27676,0.64304,1.76345,0.00034227,0.00034227,0.00034227
92,15628.7,1.03958,0.50314,1.63664,0.95266,0.90151,0.95342,0.7783,1.27862,0.64686,1.76371,0.000296546,0.000296546,0.000296546
93,15797.9,1.03198,0.50349,1.63618,0.93897,0.9092,0.95387,0.77855,1.27644,0.64429,1.76258,0.000255513,0.000255513,0.000255513
94,15969.5,1.03128,0.50102,1.6355,0.94435,0.90619,0.95419,0.7776,1.27573,0.64258,1.76244,0.000219212,0.000219212,0.000219212
95,16141.3,1.02259,0.4972,1.6342,0.94438,0.90604,0.95421,0.7795,1.272,0.64192,1.76108,0.000187678,0.000187678,0.000187678
96,16312.7,1.01315,0.49266,1.63316,0.9478,0.90323,0.95399,0.78007,1.27049,0.64003,1.76123,0.000160943,0.000160943,0.000160943
97,16481.2,1.01145,0.49082,1.63082,0.94882,0.89983,0.95411,0.78188,1.26702,0.6365,1.76054,0.000139032,0.000139032,0.000139032
98,16648.7,1.01516,0.49056,1.63287,0.94978,0.90381,0.9543,0.78159,1.26678,0.63462,1.75987,0.000121968,0.000121968,0.000121968
99,16816.8,1.01005,0.48926,1.63128,0.93875,0.91243,0.95443,0.78214,1.26665,0.63579,1.75936,0.000109768,0.000109768,0.000109768
100,16984.2,1.01015,0.48921,1.62758,0.94594,0.90563,0.95394,0.78,1.2668,0.63461,1.75895,0.000102443,0.000102443,0.000102443
